SampleCode	IsDependent	RunApi
create_an_apple_pay_transaction	1	0
create_an_accept_transaction	1	0
create_an_android_pay_transaction	1	0
create_customer_payment_profile	1	1
create_customer_profile_from_transaction	1	1
create_customer_profile	1	1
create_customer_shipping_address	1	1
delete_customer_payment_profile	1	1
delete_customer_profile	1	1
delete_customer_shipping_address	1	1
get_customer_payment_profile	1	1
update_customer_payment_profile	1	1
update_customer_profile	1	1
update_customer_shipping_address	1	1
validate_customer_payment_profile	1	1
authorize_credit_card	1	1
capture_funds_authorized_through_another_channel	1	1
capture_previously_authorized_amount	1	0
charge_credit_card	1	1
charge_customer_profile	1	1
charge_tokenized_credit_card	1	0
credit_bank_account	1	0
debit_bank_account	1	1
refund_transaction	1	0
update_split_tender_group	1	0
void_transaction	1	0
authorization_and_capture_continued	1	1
authorization_and_capture	1	1
authorization_only_continued	1	0
authorization_only	1	1
credit	1	0
get_details	1	0
prior_authorization_capture	1	0
get_customer_shipping_address	1	0
get_customer_profile	1	0
get_accept_customer_profile_page	1	0
void	1	0
cancel_subscription	1	0
create_subscription	1	1
create_subscription_from_customer_profile	1	1
get_list_of_subscriptions	1	1
get_subscription_status	1	0
get_subscription	1	1
update_subscription	1	1
get_batch_statistics	1	1
get_settled_batch_list	1	1
get_transaction_details	1	0
get_transaction_list	1	1
get_transaction_list_for_customer	1	0
get_unsettled_transaction_list	1	0
create_visa_src_transaction	1	0
decrypt_visa_src_data	1	0
get_customer_profile_ids	1	0
get_customer_payment_profile_list	1	1
get_merchant_details	0	1
update_held_transaction	0	0
get_an_accept_payment_page	0	1
